act-avg,sat-avg,enrollment,acceptance-rate,rankingDisplayScore,percent-receiving-aid,cost-after-aid,tuition,displayName,overallRank,institutionalControl
20,983,17280,68,27,,,28590,Wayne State University,223,public
16,790,1424,64,,,,33140,American International College,-1,private
,930,5133,74,,,,23606,Augusta University,-1,public
18,850,3541,62,,,,29700,Barry University,-1,private
20,910,20209,82,,,,22642,Boise State University,-1,public
18,973,1534,82,,,,28844,Cardinal Stritch University,-1,private
18,820,3093,72,,,,23082,Clark Atlanta University,-1,private
19,890,12433,88,,,,13848,Cleveland State University,-1,public
19,910,17541,73,,,,11530,Eastern Michigan University,-1,public
20,920,11065,80,,,,26463,East Tennessee State University,-1,public
20,950,25402,60,,,,21595,Florida Atlantic University,-1,public
22,1030,18005,65,,,,18692,Georgia Southern University,-1,public
,,,43,,,,17050,Grand Canyon University,-1,proprietary
16,790,11202,86,,,,19454,Indiana State University,-1,public
,840,10618,92,,,,15882,Indiana University of Pennsylvania,-1,public
16,810,7492,69,,,,17614,Jackson State University,-1,public
21,1000,32166,59,,,,21158,Kennesaw State University,-1,public
18,860,9326,76,,,,22561,Lamar University,-1,public
21,950,47050,28,,,,24304,Liberty University,-1,private
20,920,7549,55,,,,16960,Lindenwood University,-1,private
19,950,19693,69,,,,27578,Middle Tennessee State University,-1,public
16,800,6362,60,,,,17833,Morgan State University,-1,public
,,,81,,,,10380,National Louis University,-1,private
18,850,9668,54,,,,19416,North Carolina A&T State University,-1,public
20,940,26506,78,,,,24841,Northern Arizona University,-1,public
19,,14079,52,,,,23817,Northern Illinois University,-1,public
20,805,16568,86,,,,24735,Oakland University,-1,public
18,890,19793,85,,,,28200,Old Dominion University,-1,public
19,930,21633,89,,,,21180,Portland State University,-1,public
15,750,7455,85,,,,10059,Prairie View A&M University,-1,public
19,920,3806,83,,,,17450,Regent University,-1,private
19,870,17902,72,,,,22340,Sam Houston State University,-1,public
18,860,25945,68,,,,19134,San Francisco State University,-1,public
18,,,50,,,,24388,Spalding University,-1,private
16,788,7007,53,,,,20178,Tennessee State University,-1,public
21,960,9437,67,,,,26190,Tennessee Technological University,-1,public
17,850,7605,45,,,,20884,Texas A&M University--Commerce,-1,public
17,850,10212,86,,,,26061,Texas A&M University--Corpus Christi,-1,public
17,850,6811,82,,,,20912,Texas A&M University--Kingsville,-1,public
15,715,6562,51,,,,21240,Texas Southern University,-1,public
20,930,34244,71,,,,23071,Texas State University,-1,public
17,820,10408,86,,,,21816,Texas Woman's University,-1,public
